coder,post_number,user,topic,raw,pers_exp,emot_exp,pol_opin,breadth,valence,contr,created_at,reply_to_post_number,reply_chain,key,value,key...7,value...8,key...9,value...10
,78,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Schau dir doch mal die Merkel an wenn eine bestimmte Debatte im Bundestag besprochen werden soll,was macht diese Frau da, sie steht auf und geht daran kann man doch sofort erkennen,was diese Person für einen Charakter hat nicht mal für 5 Pfennig. Sie ignoriert doch alles was ihr nicht passt und da hilft immer noch wie es ihr Vorgänger gemacht hat (AUSSITZEN) vielleicht stirbt der andere ja und dann hat sich das Thema von alleine erledigt. Je mehr ich über diese Frau schreibe um so mehr bin ich von ihr und den anderen wie z.b.Schäuble angewidert. Aber es wird sich nichts ändern egal was wir hier schreiben. Und das beste zum Schluss ich habe diese Woche im ersten einen Bericht über Russlanddeutsche gesehen,was habe die da gesagt( DER KOHL hat uns Rüber geholt und sich um uns gekümmert und deswegen haben wir CDU gewählt). Und so lange wie das so ist,wird sich nichts ändern. Armes Reiches Deutschland.",,,,,,,2017-08-31T17:32:27Z,73,"Die genannten Maßnahmen sind überfällig. >>> Hallo holzwurmpaul! Da gebe ich Ihnen vollkommen recht, mit Ihrer Aussage, das die in Berlin alle unfähig sind! Bald sind Wahlen.....natürlich werden da große Versprechen gemacht, die nach der Wahl nicht eingehalten werden! Wie nennt man das noch so schön: Nepper, Schlepper , Bauernfänger. Bislang hat es funktioniert. Ich habe Merkel noch nie meine Stimme gegeben und sie wird sie auch niemals erhalten. >>> Der 9. Punkte Plan hört sich geschrieben schon mal gut an. Nur will Merkel diesen tatsächlich realisiere?! Daran möchte ich zweifeln. Selbst wenn man diese Frau bei Debatten beobachtet, sie kann sich ja toll überall heraus reden und meint alles wird gut! Für wen? Nicht für das Volk. In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen! Gegen wie viele Gesetze hat diese Frau schon verstoßen?! Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das ""DEUTSCHE VOLK"" untragbar. Doch ich fürchte, sie wird weiterhin Kanzlerin bleiben! Dafür gibt es so, wie Medien berichten leider noch immer genug Menschen, die ihr vertrauen. Wenn ich hundertmal betrogen werde, vertraue ich nicht mehr.",,,,,,
,144,Steffi84,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Dieses Hin und Her, denke ich bringt nichts. Jegliche Einreise sollte endlich sofort gestoppt werden, man kann doch nicht das eigene Land in Gefahr bringen!! Da man doch das eigentliche Problem lösen sollte,was außerhalb Deutschland liegt. Und wenn man da mit der Terrorbekämpfung anfängt, tut man was dagegen und schützt sein eigenes Land so. Aktionen und Hilfe gegen den Terror sind zwar nötig, aber wenn er schon im eigenem Land ist, ist es meistens schon zu spät, wie man bedauerlicherweise immer wieder sehen muss, bsp. Berlin, München…etc. Ich verstehe nicht viel Politik und bin auch nicht interessiert dran. Aber ich finde auf extreme Aktionen müssen auch extreme Reaktionen folgen…",,,,,,,2017-09-02T20:04:10Z,NULL,,,,,,,
,142,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"wenn man in den Terrorländern den Menschen eine andere Perspektive bieten würde, müssten sie sich nicht der ISIS anschließen um geld zu verdienen.",,,,,,,2017-09-02T17:44:15Z,NULL,,,,,,,
,17,lammar,Welche Punkte würden Sie ergänzen? (55),"Im Bildungssystem muss eine Erziehung zur Mündigkeit und die Verteidigung der Republik gelehrt werden. Darüber hinaus sollte die Schuld nicht bei Asylsuchenden gesucht werden, sondern diesen viele mehr würdige Lebensumstände ermöglicht werden. Rechter Terror wird völlig übersehen.",,,,,,,2017-08-31T09:59:51Z,NULL,,,,,,,
,168,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Da muß ich dir leider Recht geben diese zwei Looser waren doch wie zwei Zwillinge und mit dem Klöppel gebe ich dir zu 100% auch Recht es fehlte nur,das er sich der Merkel auf den Schoss gesetzt hätte. Und vor allem was sehr gefehlt hat waren Sach Themen zur inneren Sicherheit oder wie viele Generationen es noch geben wird bis diese Asylanten sich selbst ernähren putzen und Eigenständigkeit Laufen können:rofl: Beantrage du mal eine Hilfe für deine Eltern wenn sie nicht mehr Laufen und mehr nicht mehr können ich wusste nicht das es so viele Ämter gibt wo du als Bittsteller vorsprechen musst und kommt dann so ein Alphabet der bekommt sofort eine Hilfe an die Seite gestellt und alles was er WILL bekommt er sofort :face_with_symbols_over_mouth: Schande:rage:",,,,,,,2017-09-04T15:24:47Z,167,"Die genannten Maßnahmen sind überfällig. >>> Hallo holzwurmpaul! Da gebe ich Ihnen vollkommen recht, mit Ihrer Aussage, das die in Berlin alle unfähig sind! Bald sind Wahlen.....natürlich werden da große Versprechen gemacht, die nach der Wahl nicht eingehalten werden! Wie nennt man das noch so schön: Nepper, Schlepper , Bauernfänger. Bislang hat es funktioniert. Ich habe Merkel noch nie meine Stimme gegeben und sie wird sie auch niemals erhalten. >>> Der 9. Punkte Plan hört sich geschrieben schon mal gut an. Nur will Merkel diesen tatsächlich realisiere?! Daran möchte ich zweifeln. Selbst wenn man diese Frau bei Debatten beobachtet, sie kann sich ja toll überall heraus reden und meint alles wird gut! Für wen? Nicht für das Volk. In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen! Gegen wie viele Gesetze hat diese Frau schon verstoßen?! Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das ""DEUTSCHE VOLK"" untragbar. Doch ich fürchte, sie wird weiterhin Kanzlerin bleiben! Dafür gibt es so, wie Medien berichten leider noch immer genug Menschen, die ihr vertrauen. Wenn ich hundertmal betrogen werde, vertraue ich nicht mehr. >>> Sag mal, ist Dir eigentlich klar, welche Behauptungen Du da frisch und frei in die Welt setzt und gegen welche Gesetze DU damit verstoßen hast? >>> Hallo brunolina, gegen was für Gesetze verstößt Sammy Erkläre das mal !! Und welche Behauptungen gefallen dir nicht?? >>> Hallo brunolina! Definiere bitte klar und deutlich, gegen welche Gesetze ich verstoßen haben soll mit meinen Aussagen!!! Frisch und frei in die Welt gesetzt??? Im Moment herrscht noch freie Meinungsäußerung in Deutschland! Ich bin gerne bereit mir DEINE Meinung anzuhören ohne DICH oder irgend jemanden anzugreifen und schon gar nicht mit einem unvollständigem Satz, der keine klare Aussage hat! Was ich geschrieben habe ist eine belegte Tatsache, die sich überall nachlesen lässt. Merkel hat nun mal in mehreren Fällen gegen das Grundgesetz verstoßen! Sollte ich das geheim halten, wo das bereits bekannt ist! >>> Hallo Sammy, Meinungsfreiheit ist nicht gleichbedeutend mit dem verbreiten von Unwahrheiten. Ich kann bei Deiner Wortwahl nicht erkennen, dass Du bereit wärst, Angriffe gegen andere - zu denen Frau Merkel doch wohl auch gehört – zu unterlassen. Meine Aussage war absolut klar. Sie ärgert Dich. Das kann ich nicht ändern. Teile Deiner Worte zitiere ich – den Rest erspare ich uns, ist ja durchaus nachlesbar: _„In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen!“_ _Gegen wie viele Gesetze hat diese Frau schon verstoßen?!_ _Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das “DEUTSCHE VOLK” untragbar.“_ >>> Hallo brunolina! Also als erstes hast Du mir leider noch immer nicht mitgeteilt, gegen welche Gesetze ich verstoßen habe! Gut interessiert mich nun auch nicht mehr wirklich. Mich auch noch der Lüge bezichtigen finde ich dreist! Es gibt für mich keinen Grund zu lügen. Ist absolut nicht meine Art! Meine persönliche Meinung werde ich auch weiterhin sagen, ob Dir das passt oder nicht! Wir kennen uns sicherlich nicht persönlich, so das Du ein solches Urteil über mich fällen kannst! Meine Bitte an Dich, ignoriere mich und meine Kommentare, so wie ich das ab sofort bei Dir auch tun werde. Damit ist das Thema für mich beendet!!! >>> Hallo Sammy, das war bestimmt der Honecker der nochmal was sagen wollte bevor er jetzt gänzlich mit seiner Frau in der Hölle verschwand wo er dem Teufel den Ofen befeuern kann. Das sind halt Merkel Liebhaber ;-)) Und wenn es an die Front geht haben die ihre Buxe voll. >>> Hallo Holzwurmpaul! Das könnte gut möglich sein! Weißt Du, ich finde es schon immer schrecklich, wie diese Leute Personen mit anderer Meinung auf Facebook angreifen!. Wird dann nachgefragt, warum sie so reagieren, haben sie keine Argumente mehr, artikulieren in asozialer, oder klinken sich ganz aus. Mit einer vernünftigen Antwort kann bei diesen Personen nicht gerechnet werden. Ich selbst kommentiere aus genau diesem Grund sehr wenig in sozialen Netzwerken. Hier allerdings hatte ich nicht mit solchen Leuten gerechnet! Wenn jemand Merkel weiter wählen will, so habe ich kein Problem damit. Ich muss es deswegen nicht tun!!! >>> Hallo Sammy ich habe auch noch nie verstehen können,das so viele ihren Müll in solchen Netzwerken auskippen wollen. Auf der einen Seite,wollen sie keine Kameras und auf der gleichen Seite stehen die Leut die all ihren Müll Freiwillig kund tun. Wo ist hier die sogenannte Privats fähre?? Also ich freue mich schon auf heut abend wo die Augsburger Puppenkiste wieder da ist nach vier Jahren. Wo jeder vorher seine Fragen wieder abgeben muss oder soll um bei der Runde wieder die Zuschauer zu veräppeln. Allein schon der Klöppel der sich am liebsten der Merkel auf den Schoss setzen würde Grrrr Grrr Blitz und Donner !! >>> Hallo holzwurmpaul! Bei Herrn Klöppel merkt man sofort die politische Einstellung! Er hat aber auch etwas sympathisches obwohl er bei manchen Berichten zu einer dramatisch langgezogenen Story neigt!Von der gestrigen ""Augsburger Puppenkiste"", habe ich heute auch schon einiges bei FB gelesen. Interessant fand ich bei einigen Kommentaren, das viele Zuschauer der Sendung, die sich vorher sicher waren, eine der beiden Parteien zu wählen nun umgeschwenkt sind in eine ganz andere Richtung! Doch ich befürchte trotzdem, Merkel wird wieder gewählt!",,,,,,
,11,Neuer78,Was denken Sie: Wie lässt sich Terror stoppen? (77),Grenzen schliessen und aufräumen,,,,,,,2017-08-29T20:09:01Z,10,"ja, wir schaffen das, wenn wir aufhören, uns gegenseitig mit Vorwürfen zu zerfleischen und die Politiker sich ständig in den Rücken fallen. Wir schaffen das, wenn wir zusammenstehen und gemeinsam nach Lösungen suchen. Diejenigen, die hier versuchen, Feindschaft und Hass zu säen, wie AfD, CSU und noch einige andere Besserwisser, spielen den Terroristen in die Hände, ebenso wie den antidemokratischen Herrschern Putin, Erdogan, Orban etc. Diese Leute werden die Verantwortung tragen, wenn wie es nicht schaffen. Drum hört auf zu streiten, sucht nach Gemeinsamkeiten und steht zusammen. >>> Ich stimme Ihnen voll und ganz zu. In diesem Land, in dem ich dzt. wohne, zieht ein gewendeter Populist seine Fäden. Es ist nicht auszuhalten. Medial wird - insbesondere das Volk auf dem Land verdummt - keine Bildung verteilt. Ich beginne zu verzweifeln.",,,,,,
,35,wolf16,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Ich finde es erschreckend, wenn größere Veranstaltungen nur noch mit massiven Sperren gegen Fahrzeuganschläge und körperliche Durchsuchungen möglich sind. Da bleibe ich lieber Zuhause.",,,,,,,2017-08-31T23:45:40Z,NULL,,,,,,,
,154,Simon,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Dieser Plan erinnert mehr an eine Bekämpfung der Symptome als an eine Bekämpfung der Ursachen. Das Problem des Terrorismus sollte besser an der Wurzel angefasst und im Keim erstickt werden als dass man nachher die Terroristen bekämpft, die sich schon radikalisiert haben.",,,,,,,2017-09-03T11:13:07Z,NULL,,,,,,,
,86,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"genau meiner meinung, nicht die bundesregierung hat das sagen, sondern die lobbys(auto,pharma, waffen....) die sagen, wo es langgeht",,,,,,,2017-08-31T19:41:28Z,77,"Waffenkauf sollte nicht nur online eingeschränkt werden!! Es ist immernoch zu einfach, sich Waffen zu beschaffen. >>> Wenn man in der Vergangenheit der Waffenindustrie einen Riegel vorgeschoben hätte,bin ich der Meinung gäbe es so manches Problem nicht. Aber bei uns in Deutschland regiert die Industrie und die sagt wo es lang geht so war es doch mit dem Gabriel wo er noch Innen Minister war das hat ihn doch einen nassen Furz interessiert wo oder was für Waffen irgend wo hin gehen. Denn wehe hätte man das versucht zu unterbinden da hätte die Waffenlobby sofort GESCHRIEN DA GEHEN WIEDER ARBEITSPLÄTZE KAPUTT das geht doch nicht!? So wie bei dem Mindestlohn das war noch nicht beschlossen da hat die Industrie schon geheult. Wie sagt die EX aus dem Osten( Ich lebe gut gerne in Deutschland). Aber frag die Leuchten im Bundes oder Landtag was ein Pfund Butter kostet !!",,,,,,
,28,flukas,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Unmittelbar würde ich noch nicht betroffen ,von Kontrollen an Flughäfen Mal abgesehen.Unterschwellig spürt man die Bedrohungslage schon.",,,,,,,2017-08-31T14:16:26Z,NULL,,,,,,,
,158,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo Calculator wo ist Terror wo wird er bekämpft ich will sofort dahin ;-)) Hast du in der Zeitung gelesen wie viele von den Terroristen wieder nach Deutschland eingeladen wurden ist das nicht TOLL. Die bekommen das in Hundert Jahren nicht hin und dann stellt sich diese Frau ??? hin und sagt wir schaffen das wir haben schon sooo viel geschafft und da muss ich mich wieder fragen,wen meint diese Frau wohl damit denn sie kann es ja nicht gewesen sein denn sie hat sich wieder beim Erdogan ihre Schelde abgeholt ich lach mich kaputt wir schaffen das WAS.",,,,,,,2017-09-03T14:10:04Z,155,"Eine Rückführung von Flüchtlingen muß verstärkt werden. Da bin ich mit Frau Merkel auf einer Linie. Es kann doch nicht sein, dass die aufgenommenen Flüchtlinge auch noch ihre Angehörigen nach Deutschland nachziehen lassen. Bei 250000 Asylanten kommen dann auch noch ca. 500000 bos 1 Million zusätzlich. Das verträgt Deutschland nicht. >>> ohne Familiennachzug scheitert eine Integration, jeder möchte doch zusammen mit seiner Familie leben. Was will einer alleine hier. So etwas wollte man doch selbst auch nicht. >>> Familiennachzug stoppen! Ich würde die jungen Menschen (MEIST JUNGE UNGEBILDETE MÄNNER) in geeigneten Berufen für ihr Heimatland ausbilden und dann in IHRE HEIMATLÄNDER zurückschicken, um den Aufbau ihrer Witschaft zu mobilsieren. Wenn der Familiennachzug nicht wesentlich gestoppt wird befürchte ich sozialen Unfrieden in Deutschland >>> klingt ja insgesamt gut, aber bei einem genehmigten Asylstatus gibt es logischerweise meist keine Rückführung wegen Verfolgung o.ä. Aber eigentlich geht das alles am eigentlichen Thema vorbei (Terrorbekämpung)...",,,,,,
,2,berna,Wie wurde der 9-Punkte-Plan in den Medien bewertet? (2),das wir nicht helfen umsetzung ist sehr schwer machbar,,,,,,,2017-09-02T19:18:34Z,NULL,,,,,,,
,40,Afra,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),Hatte bisher keine Probleme mit dem Terror und hoffe dass es auch in Zukunft so sein wird.,,,,,,,2017-09-01T10:07:40Z,NULL,,,,,,,
,7,stauss,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (77),Halte ich für sinnlos.,,,,,,,2017-08-30T13:34:18Z,NULL,,,,,,,
,13,HubertK,Welche Punkte würden Sie ergänzen? (55),"Meiner Meinung nach gibt es nichts zu Ergänzen, aber die Punkte müssen schnellst möglich durchgesetz werde. und das ist in unserem Land ein grpßes Problem. Viel Reden, wenig Durchführung.",,,,,,,2017-08-31T08:08:21Z,NULL,,,,,,,
,4,koppiklaus,Welche Punkte würden Sie ergänzen? (55),"Wird nur funktionieren wenn der 9-Punkte-Plan auch genauso angewendet wird. Ergänzend würde ich sagen, dass strafällige gewordene Flüchtlinge mit sofortiger Wirkung abgeschoben werden und nicht erst nach Monaten egal Krankheit, etc vorliegt.",,,,,,,2017-08-29T16:33:46Z,NULL,,,,,,,
,12,Maksimo,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (77),der neun Punkte Plan sollte unbedingt eingehalten werden,,,,,,,2017-08-30T20:53:05Z,NULL,,,,,,,
,11,Markus,Was sind Ihre persönlichen Erfahrungen mit Terror? (53),"Tatsächlich hatte ich noch keinen direkten Kontakt, aber bei Großveranstaltungen nimmt man die Gefahr mittelbar durch sehr konsequente Personenkontrollen war. Und an zentralen, belebten Orten kommt schon mal der Gedanke auf, ""was wäre wenn....."".",,,,,,,2017-08-30T10:28:48Z,NULL,,,,,,,
,77,Luki89,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (77),"Ist wieder nur eine Reaktion, aber die Ursachen werden nicht berücksichtigt.",,,,,,,2017-09-08T11:33:05Z,NULL,,,,,,,
,43,LadyTiga,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Ein Plan mag ja gut und schön sein, aber es sollten auch Dinge umgesetzt werden. Bei vielen Dingen habe ich nur das Gefühl, das viel drüber gesprochen wird. Aber wird auch was umgesetzt? Ich meine, warum muss man erst Monate über Namen diskutieren, über Dinge die dann vielleicht a) nie so umgesetzt werden oder b) wenn sie Zustande kommen, irgendwie ganz anders. Siehe z.b. die Erst Aufnahme Stellen. Mein Gott, was wurde da damals über die verschieden Namen geredet, bevor es überhaupt eine gab. Warum muss es Gastarbeiter, Ausländer, Migrant oder was weiß ich heißen? Der Name ändert nichts, der Name macht es nicht besser und nur weil mich sich schöne Namen ausdenkt oder Pläne, heißt das nicht, das die Problematik dadurch aufhört. Waffenverkäufe sind doch echt sinnlos an andere Länder, Hunger, Krieg... das muss gestoppt werden",,,,,,,2017-08-31T19:40:33Z,NULL,,,,,,,
,36,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Überfällig ja aber wer hat soviel Eier in der Hose das auch zu machen?? Sofort schreien die Grünen mit mir nicht. Die Linken die so viel Dreck aus der Vergangenheit an ihren Händen haben mit uns nicht und so geht es weiter wie ein Roter Strich. Unfähig sage ich nur alle die da oben in Berlin sitzen.,,,,,,,2017-08-30T16:01:15Z,4,Die genannten Maßnahmen sind überfällig.,,,,,,
,66,Steffi84,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Einreiseverbot sofort!!! Wenn Terrorbekämpfung, dann da wo es sinnvoll ist und das ist ja wohl außerhalb von Deutschland. Denn wenn er schon im eigenem Land ist es meistens schon zu spät.",,,,,,,2017-09-02T20:00:57Z,NULL,,,,,,,
,101,schalkerin13,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),"Es stehen wieder Wahlen vor der Tür irgentetwas muss ja gesagt werden ,aber gemacht wird sowieso nix. Vielleicht hätte Frau Merkel vorher mehr über alles nachdenken sollen.",,,,,,,2017-09-05T06:18:02Z,NULL,,NULL,NULL,,,,
,30,Heiko,Was sind Ihre persönlichen Erfahrungen mit Terror? (45),"Ich war am Tag des Anschlags im Münchner Olympiazentrum auf der Arbeit . In München herrschte der Ausnahmezustand . Ich konnte mit den öffentlichen Verkehrsmitteln nicht nach Hause fahren und musste im Hotel schlafen . Mein Lebensgefährte hat genau an dem Ort wo der Anschlag passiert ist in einem Schmuckgeschäft gearbeitet . Gott sei dank , will man da schon sagen hatte er genau an dem Tag frei .",,,,,,,2017-09-01T17:24:24Z,NULL,,NULL,NULL,,,,
,10,Heiko1,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (54),"Ein Plan, soweit so gut, aber mit der Umsetzung hapert es. Dazum kommt noch die befindlichkeiten der anderen EU-Staaten!!",,,,,,,2017-08-30T15:12:18Z,NULL,,NULL,NULL,,,,
,37,schwanenfamilie23,Was denken Sie: Wie lässt sich Terror stoppen? (69),Wahrscheinlich überhaupt nicht. Dadurch dass die Kontrollen weggefallen sind wird es schwierig werden Gefährder gleich zu erkennen!,,,,,,,2017-09-01T11:37:39Z,NULL,,+1|retort,"[""Realitaet""]",,,,
,38,nicolehh,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Die Bundeswehr im Inneren einsetzen ist keine Option. Das ist Aufgabe der Polizei,,,,,,,2017-08-31T09:00:21Z,NULL,,+1|retort,"[""Roxy""]",,,,
,40,Jakob,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),"Diese neun Punkte sind ein Schritt in die richtige Richtung. Das Wichtigste ist, dass Terroristen hier gar nicht erst hereinkommen bzw. Handlungsfreiheiten erhalten. Denn Waffen oder Mittel, Menschen umzubringen, wird man immer finden. Daher: 1. Es fehlen Zeitziele, zum Beispiel bei Punkt 6. Die Zeit drängt, es gab bereits hunderte Tote in Europa durch islamistischen Terrorismus. Das Einschalten von McKinsey bei Punkt 9 sieht mir auch nach Verzögerungstaktik aus. 2. Es fehlen Punkte: Aufnehmen würde ich u.a.: - Viele Terroristen wurden durch radikale Imame in Europa angeleitet, radikalisiert und gehirngewaschen. --> Daher sollte es ein Verbot der Finanzierung von religiösen Stätten aus dem Ausland und ein Verbot der Entsendung von radikalen Predigern aus dem dem Ausland geben. Saudi-Arabien z.B. exportiert seinen radikalen Islam in die ganze Welt durch islamistische Prediger und die nahezu unerschöpflichen Geldmittel aus den Ölgeschäften. - Viele Terroristen kamen durch irreguläre Migration nach Europa oder nutzten die Flüchtlingsrouten, um aus arabischen Terrorcamps wieder nach Europa zu gelangen (siehe Paris-Attentäter). --> Es braucht eine vollständige und lückenlose Grenzsicherung des Schengenraus inklusive Transitzonen, ist dies nicht binnen Jahresfrist möglich, auch nur für Deutschland. Ungarn hat etwa Transitzonen und praktisch keine Probleme mit Islamismus oder Terror. Die Transitzonen klären Identitäten, gleichen Personalien mit Fahndungsdatenbanken, entscheiden über mögliches Bleiberecht. Sind sind keine Haft, ein Verlassen ins vorherige Land ist immer möglich. - Fast alle Terroristen ließen sich durch Zahlungen ausländischer Terrororganisationen finanzieren oder wurden dadurch angeleitet. -> Bei allen neuen Zuwanderern sollten daher zwei bis drei Jahre lang sämtliche Geld- und Kommunikationswege ins Ausland durch automatische Systeme überwacht werden. Das kann man gerne mit Punkt 1, dem Frühwarnsystem, verbinden.",,,,,,,2017-08-31T09:57:20Z,NULL,,+1|retort,"[""Realitaet""]",,,,
,36,Tourismusexperte,Welche Punkte würden Sie ergänzen? (58),"Intensivere Zusammenarbeit mit Tourismusexperten. Es hat sich gezeigt, dass die beiden Begriffe Terrorismusexperte und Tourismusexperte nicht nur bei den Buchstaben eng beieinanderliegen, sondern auch was die Auswahl der Ziele von Anschlägen betrifft, dies waren vorwiegend Ziele, die ich erst kurz zuvor selbst als Tourist besucht hatte oder welche ich geplant hatte, zu besuchen. Man muss also schauen, welche Destinationen sind touristisch interessant, welche Region boomt usw. d.h. überlegen, wie kann ein Terrorist einem Gebiet auch wirtschaftlich den größtmöglichen Schaden zufügen (durch ausbleibende Touristen usw.) und diese identifizierten Ziele dann intensiver observieren und schützen.",,,,,,,2017-09-01T12:52:24Z,NULL,,NULL,NULL,,,,
,34,Angie65,Welche Punkte würden Sie ergänzen? (58),"ich würde die einzelnen stellen an einem punkt bündeln,damit bessere kontrolle herrscht.",,,,,,,2017-09-01T12:16:19Z,NULL,,NULL,NULL,,,,
,18,Ampelmann,Welche Schulnote würden Sie dem 9-Punkte-Plan geben? (22),"Terroristen dürfen nicht abgeschoben werden, denn in dem Abgeschobenen Land könnten sie auch Menschen töten. Die Leute haben jeden Respeckt vor dem Leben verloren und müßen unschädlich gemacht werden!",,,,,,,2017-09-02T20:21:02Z,4,Es ist wichtig das endlich gehandelt wird.Gefährlichen Islamisten müssen sofort eingesperrt und in ihr Land abgeschoben werden.Es sind viel zu viele Terrorverdächtige in unser Land gekommen.,NULL,NULL,,,,
,57,thr79,Was denken Sie: Wie lässt sich Terror stoppen? (69),und wo genau ist die Wurzel??,,,,,,,2017-09-04T12:52:31Z,36,An der Wurzel anpacken.,NULL,NULL,,,,
,16,GOMERA,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),"Generell halte ich eine Terrorbekaempfung fuer sinnvoll. Nachdem die Polizeikraefte immer mehr abgebaut wurden, ist es dringend erforderlich die Engpaesse wieder aufzuruesten, zumal sehr viele Polizisten kurz vor dem Ruhestand stehen. Solange es Unternehmen in Deutschland gibt, welche auch in Krisengebiete Waffen exportieren halte ich dies fuer reine Augenwischerei der Kanzlerin um das Volk zu beruhigen, zumal alle Waffenexporte durch die Bundesregierung genehmigt sind. Gerade der Waffenexport liefert die Voraussetzung fuer die enorme Voelkerwanderung (Fluechtlinge aus Afganistan und Syrien).",,,,,,,2017-08-30T10:59:47Z,NULL,,NULL,NULL,,,,
,45,LOTGER,Was denken Sie: Wie lässt sich Terror stoppen? (69),"Den Terror können wir nur Einhalt gebieten, in dem an den Grenzen radikal kontrolliert wird. Und Jeder - wirklich Jeder - der ohne Ausweisspapiere ankommt zurück weisen. Es hat sich doch fix rumgesprochen, ohne Ausweise erfolgt keine Ausweisung. 90% aller Emigranten besitzen doch keine Papiere mehr beim Übertritt der Deutschen Außengrenze. Damit würde sich die Abschiebepraxis total vereinfachen und Personal freisetzen.",,,,,,,2017-09-01T19:57:32Z,NULL,,+1|retort,"[""Realitaet""]",,,,
,19,kalle,Welche Punkte würden Sie ergänzen? (58),nennt man meinsungfreiheit. Du denkst was du denkst und ich was ich denke. Warum du mir das schreibst ist mir allerdings völlig schleierhaft,,,,,,,2017-08-31T12:27:55Z,18,ich glaube schlicht nicht daran dass sich unter merkel irgendwas verändert. >>> Ja wir brauchen einen Regierungswechsel..... dieser soll aber weder braun noch azurbraun sein! Groko unter Martin,NULL,NULL,,,,
,80,LOTGER,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),"Diese Punkte sind gut und richtig, nur viel zu spät beschlossen und noch lange nicht umgesetzt. Das Kompetenzgerangel über die Dienste -Geheimdienst, Nachrichtendienst, Polizei und Politik hat noch gar nicht begonnen. Einer will dem anderen ""Seine Erkenntnisse"" nicht zur Verfügung stellen usw. Dazu kommt die Bundestagswahl ! Bei größeren Veränderungen, eventuell neuen Kanzler, müssen die Ausschüsse neu gewählt und besetzt werden. Bis da positive Ergebnisse greifen, schreiben wir das Frühjahr 2018. Und die Gefährter lachen sich schlapp und bomben weiter.",,,,,,,2017-09-01T19:49:02Z,NULL,,+1|retort,"[""Josphat"", ""Realitaet""]",,,,
,46,Franconia,Was denken Sie: Wie lässt sich Terror stoppen? (69),niemand ist Weltpolizei aber einige Länder benehmen sich so ich denke es nicht unsee Aufgabe in der Welt mit Gewalt einzuwirken und leider ist es wohl -viel- zu spät,,,,,,,2017-09-01T21:27:04Z,NULL,,NULL,NULL,,,,
,52,Blond2811,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (54),"Ich denke der Gedanke dahinter ist super! Jetzt muss aber auch danach gehandelt werden, sonst macht die Politik sich unglaubwürdig. Nicht nur Phrasen dreschen, sondern handeln!",,,,,,,2017-09-05T18:46:18Z,NULL,,NULL,NULL,,,,
,6,humblebie,Welche Inhalte hat der 9-Punkte-Plan? (10),"Ich halte den 0-Punkte-Plan für einen guten Anfang, sofern er auch umgesetzt wird!",,,,,,,2017-09-01T19:48:33Z,NULL,,+1|retort,"[""Need""]",,,,
,28,Chrysler123,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),"Dieser 9 Punkte Plan kommt leider viel zu spät. Es hätte ihn schon viel früher geben sollen, um evtl. viele dieser Terroranschläge verhindern zu können.",,,,,,,2017-08-31T08:02:06Z,NULL,,NULL,NULL,,,,
